REFERÈNDUM	D’AUTODETERMINACIÓ	DE	CATALUNYA													
Resultats	definitius															
																
																
	Nota.	Recompte	final	basat	en	paperetes	verificades	i	no	segrestades.						
Alt	Penedès	76.602	44.906	"58,62%"	44.669	237	41.541	"93,00%"	2.396	"5,36%"	732	"1,64%"				
Alt	Urgell	15.367	7.666	"49,89%"	7.613	53	7.278	"95,60%"	258	"3,39%"	77	"1,01%"				
Alta	Ribagorça	2.947	1.541	"52,29%"	1.524	17	1.386	"90,94%"	101	"6,63%"	37	"2,43%"				
Anoia	86.948	39.357	"45,26%"	39.189	168	36.366	"92,80%"	2.25	"5,74%"	573	"1,46%"					
Aran	6.975	1.705	"24,44%"	1.643	62	1.38	"83,99%"	227	"13,82%"	36	"2,19%"					
Bages	128.466	67.438	"52,49%"	67.08	358	63	"93,92%"	3.146	"4,69%"	934	"1,39%"					
Baix	Camp	127.7	48.959	"38,34%"	48.71	249	45.357	"93,12%"	2.651	"5,44%"	702	"1,44%"				
Baix	Ebre	54.556	29.047	"53,24%"	28.796	251	26.963	"93,63%"	1.468	"5,10%"	365	"1,27%"				
Baix	Empordà	87.716	45.987	"52,43%"	45.738	249	43.14	"94,32%"	2.041	"4,46%"	557	"1,22%"				
Baix	Llobregat	590.248	194.624	"32,97%"	192.5	2.124	163.461	"84,91%"	24.614	"12,79%"	4.425	"2,30%"				
Baix	Penedès	70.054	23.532	"33,59%"	23.271	261	21.145	"90,86%"	1.81	"7,78%"	316	"1,36%"				
Barcelonès	1.570.607	564.321	"35,93%"	557.93	6.391	486.131	"87,13%"	55.477	"9,94%"	16.322	"2,93%"					
Berguedà	31.065	22.888	"73,68%"	22.659	229	21.511	"94,93%"	863	"3,81%"	285	"1,26%"					
Cerdanya	12.727	8.009	"62,93%"	7.96	49	7.437	"93,43%"	383	"4,81%"	140	"1,76%"					
Conca	de	Barberà	15.093	11.104	"73,57%"	11.04	64	10.464	"94,78%"	431	"3,90%"	145	"1,31%"			
Garraf	103.394	43.437	"42,01%"	43.117	320	38.351	"88,95%"	3.845	"8,92%"	921	"2,14%"					
Garrigues	14.37	9.839	"68,47%"	9.772	67	9.337	"95,55%"	303	"3,10%"	132	"1,35%"					
Garrotxa	39.896	27.353	"68,56%"	27.208	145	26.153	"96,12%"	695	"2,55%"	360	"1,32%"					
Gironès	120.064	63.633	"53,00%"	63.278	355	60.38	"95,42%"	2.164	"3,42%"	734	"1,16%"					
Maresme	318.862	149.707	"46,95%"	148.711	996	137.247	"92,29%"	8.916	"6,00%"	2.548	"1,71%"					
Moianès	9.905	7.328	"73,98%"	7.287	41	6.994	"95,98%"	210	"2,88%"	83	"1,14%"																
COMARCA	Cens	Votants	Particip.	Vàlids	Nuls	Sí	%	Sí	No	%	No	Blanc	%	Blc		
Montsià	46.874	22.831	"48,71%"	22.717	114	21.149	"93,10%"	1.254	"5,52%"	314	"1,38%"					
Noguera	27.241	16.566	"60,81%"	16.453	113	15.651	"95,13%"	560	"3,40%"	242	"1,47%"					
Osona	109.802	75.792	"69,03%"	75.528	264	72.602	"96,13%"	2.048	"2,71%"	878	"1,16%"					
Pallars	Jussà	9.917	6.047	"60,98%"	6.014	33	5.712	"94,98%"	237	"3,94%"	65	"1,08%"				
Pallars	Sobirà	5.295	3.725	"70,35%"	3.661	64	3.481	"95,08%"	144	"3,93%"	36	"0,98%"				
Pla	de	l'Estany	21.846	14.823	"67,85%"	14.77	53	14.283	"96,70%"	311	"2,11%"	176	"1,19%"			
Pla	d'Urgell	24.631	15.365	"62,38%"	15.261	104	14.581	"95,54%"	542	"3,55%"	138	"0,90%"				
Priorat	7.154	6.111	"85,42%"	6.053	58	5.779	"95,47%"	194	"3,21%"	80	"1,32%"					
Ribera	d'Ebre	16.419	10.062	"61,28%"	9.952	110	9.414	"94,59%"	432	"4,34%"	106	"1,07%"				
Ripollès	19.825	13.659	"68,90%"	13.586	73	12.914	"95,05%"	505	"3,72%"	167	"1,23%"					
Segarra	14.051	8.76	"62,34%"	8.701	59	8.264	"94,98%"	298	"3,42%"	139	"1,60%"					
Segrià	140.129	61.82	"44,12%"	61.258	562	56.346	"91,98%"	4.056	"6,62%"	856	"1,40%"					
Selva	111.566	51.694	"46,33%"	51.435	259	48.334	"93,97%"	2.502	"4,86%"	599	"1,16%"					
Solsonès	9.735	6.788	"69,73%"	6.757	31	6.481	"95,92%"	171	"2,53%"	105	"1,55%"					
Tarragonès	168.758	48.391	"28,67%"	47.975	416	43.79	"91,28%"	3.17	"6,61%"	1.015	"2,12%"					
Terra	Alta	9.002	5.601	"62,22%"	5.537	64	5.126	"92,58%"	280	"5,06%"	131	"2,37%"				
Urgell	24.633	15.281	"62,03%"	15.154	127	14.429	"95,22%"	504	"3,33%"	221	"1,46%"					
Vallès	Occidental	653.112	292.737	"44,82%"	290.096	2.641	251.834	"86,81%"	32.21	"11,10%"	6.052	"2,09%"				
Vallès	Oriental	292.826	135.875	"46,40%"	134.386	1.489	120.667	"89,79%"	11.301	"8,41%"	2.418	"1,80%"				
																
